Age Category,Sex,num,Year,Time
40,F,2,2016,19115
39,F,2,2014,20571
20,F,1,2016,15241
45,M,1,2016,18417
45,M,1,2016,12715
50,M,10,2009,12671
55,M,10,2014,13198
49,M,10,2008,14707
48,M,10,2007,12897
53,M,10,2012,18226
52,M,10,2011,14045
55,M,10,2015,14155
55,M,10,2016,14964
47,M,10,2006,13238
51,M,10,2010,16527
25,F,1,2016,21477
35,M,2,2015,10944
40,M,2,2016,10459
35,M,1,2016,15712
40,M,1,2016,14500
35,F,1,2016,17784
40,F,1,2016,18547
40,M,6,2016,12793
37,M,6,2011,14058
40,M,6,2015,13702
40,M,6,2014,18167
38,M,6,2012,16004
30,M,1,2016,17633
40,F,1,2016,14378
50,M,1,2016,16586
40,M,5,2015,16197
52,M,5,2012,15997
33,M,5,2010,14057
40,M,5,2016,17106
46,M,5,2014,16309
30,F,1,2016,18440
55,M,2,2016,18328
55,M,2,2015,20359
35,M,2,2016,11819
35,M,2,2015,11908
30,M,1,2016,16221
25,M,1,2016,11411
40,M,1,2016,23076
45,M,2,2015,13285
50,M,2,2016,14101
75,M,1,2016,23642
40,F,1,2016,19056
40,M,1,2016,12696
60,F,1,2016,19843
35,M,1,2016,20065
55,M,1,2016,15172
45,M,1,2016,14889
40,M,2,2015,18166
40,M,2,2016,17167
30,F,1,2016,17306
30,M,1,2016,15048
40,M,1,2016,17830
50,F,1,2016,17219
35,F,3,2014,17027
35,F,3,2016,14864
35,F,3,2015,15315
55,M,1,2016,19647
40,M,8,2011,13902
33,M,8,2004,13333
40,M,8,2015,12768
38,M,8,2009,12100
41,M,8,2012,12216
39,M,8,2010,12761
43,M,8,2014,13534
45,M,8,2016,12271
20,F,1,2016,16094
60,F,3,2016,18263
55,F,3,2009,14959
58,F,3,2012,16803
30,M,3,2016,15447
35,M,1,2016,11581
35,M,1,2016,16590
30,F,1,2016,24776
38,M,2,2014,17779
40,M,2,2016,11128
50,M,2,2012,14676
50,M,2,2016,14199
30,F,1,2016,15562
40,M,1,2016,19170
30,M,2,2015,12521
30,M,2,2016,10833
45,F,1,2016,24434
40,F,3,2015,13492
40,F,3,2016,12701
41,F,3,2014,14310
25,F,1,2016,19723
25,M,1,2016,12629
30,F,1,2016,21156
25,M,1,2016,12318
45,M,1,2016,13781
40,M,1,2016,10986
25,F,2,2016,14463
24,F,2,2014,14994
35,F,1,2016,19125
36,M,3,2011,13090
40,M,3,2016,11946
39,M,3,2014,12644
35,M,1,2016,16394
30,M,1,2016,19040
45,F,1,2016,19014
25,M,2,2016,16550
23,M,2,2014,18456
40,M,3,2016,17767
38,M,3,2014,21556
45,F,1,2016,14441
37,M,3,2014,21039
20,M,3,2016,16839
40,F,1,2016,22347
38,F,3,2011,16448
39,F,3,2012,16226
40,F,3,2016,16048
40,M,1,2016,13966
45,M,1,2016,16471
40,M,1,2016,12310
35,M,1,2016,15098
35,M,1,2016,15034
30,F,1,2016,17522
25,F,1,2016,15622
50,M,1,2016,14369
15,M,1,2016,14849
40,F,1,2016,18132
30,F,1,2016,19363
43,M,4,2010,16224
45,M,4,2012,18598
45,M,4,2016,20361
44,M,4,2011,17017
55,M,1,2016,14195
25,F,1,2016,17311
35,F,3,2015,16152
