Age Category,Sex,num,Year,Time,ageFactor
55,M,>7,2014,18244,"[50,60)"
52,M,>7,2011,15748,"[50,60)"
53,M,>7,2012,16552,"[50,60)"
48,M,>7,2007,14691,"[40,50)"
55,M,>7,2016,15772,"[50,60)"
47,M,>7,2006,13432,"[40,50)"
50,M,>7,2009,14927,"[50,60)"
45,M,>7,2004,12560,"[40,50)"
49,M,>7,2008,13475,"[40,50)"
55,M,>7,2015,17014,"[50,60)"
51,M,>7,2010,15841,"[50,60)"
35,M,1,2016,17921,"[30,40)"
50,M,5,2016,12592,"[50,60)"
49,M,5,2014,12352,"[40,50)"
47,M,5,2012,11626,"[40,50)"
50,M,5,2015,12757,"[50,60)"
45,M,5,2010,11473,"[40,50)"
30,F,1,2016,15475,"[30,40)"
35,M,2,2015,12919,"[30,40)"
35,M,2,2016,13999,"[30,40)"
25,M,1,2016,18344,"[20,30)"
45,M,1,2016,12581,"[40,50)"
35,M,2,2015,13668,"[30,40)"
40,M,2,2016,13705,"[40,50)"
35,F,1,2016,19406,"[30,40)"
40,M,3,2014,15576,"[40,50)"
35,M,3,2016,19041,"[30,40)"
60,M,1,2016,13611,"[60,70)"
20,F,1,2016,19025,"[20,30)"
55,M,2,2016,13001,"[50,60)"
47,M,2,2007,12795,"[40,50)"
35,M,1,2016,17954,"[30,40)"
30,M,1,2016,17083,"[30,40)"
40,M,1,2016,18466,"[40,50)"
