Id,Age Category,Sex,Time,Year,ageFactor,day_no,temp,flu,num,sdTime,meanTime,ran_more_than_once
68,44,M,14938,2011,"[40,50)",30.0,63.0,4.0,6,858.6779178869494,14804.166666666666,1
68,41,M,14693,2006,"[40,50)",29.0,73.0,2.76,6,858.6779178869494,14804.166666666666,1
68,45,M,14334,2016,"[40,50)",24.0,54.0,1.85,6,858.6779178869494,14804.166666666666,1
68,45,M,16357,2012,"[40,50)",29.0,72.0,1.1,6,858.6779178869494,14804.166666666666,1
69,45,M,11069,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
70,55,M,16172,2014,"[50,60)",33.0,76.0,3.0,4,1096.1681744452658,15425.0,1
70,51,M,13795,2010,"[50,60)",31.0,71.0,1.3,4,1096.1681744452658,15425.0,1
70,55,M,15866,2015,"[50,60)",25.0,60.0,1.9,4,1096.1681744452658,15425.0,1
70,55,M,15867,2016,"[50,60)",24.0,54.0,1.85,4,1096.1681744452658,15425.0,1
71,15,M,14220,2016,"[10,20)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
72,40,M,18882,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
73,40,M,15294,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
74,41,F,17008,2011,"[40,50)",30.0,63.0,4.0,3,540.8225217203884,16783.0,1
74,45,F,16166,2016,"[40,50)",24.0,54.0,1.85,3,540.8225217203884,16783.0,1
74,45,F,17175,2015,"[40,50)",25.0,60.0,1.9,3,540.8225217203884,16783.0,1
75,20,F,20974,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
76,35,M,14402,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
77,25,F,13258,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
78,40,F,18199,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
79,50,M,16291,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
80,30,M,18344,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
81,50,M,11787,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
82,40,M,18085,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
83,35,M,12407,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
84,65,M,20638,2016,"[60,70)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
85,35,M,14151,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
86,40,M,16679,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
87,20,M,22658,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
88,35,F,15061,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
89,35,M,17040,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
90,25,M,10769,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
91,35,M,18498,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
92,30,M,16147,2016,"[30,40)",24.0,54.0,1.85,2,2935.9073554865454,18223.0,1
92,42,M,20299,2004,"[40,50)",32.0,74.0,0.0,2,2935.9073554865454,18223.0,1
93,40,M,17019,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
94,43,M,15191,2012,"[40,50)",29.0,72.0,1.1,7,2452.2371418767802,15795.0,1
94,41,M,12724,2010,"[40,50)",31.0,71.0,1.3,7,2452.2371418767802,15795.0,1
94,40,M,13939,2009,"[40,50)",25.0,68.0,1.06,7,2452.2371418767802,15795.0,1
94,45,M,18047,2015,"[40,50)",25.0,60.0,1.9,7,2452.2371418767802,15795.0,1
94,45,M,19305,2014,"[40,50)",33.0,76.0,3.0,7,2452.2371418767802,15795.0,1
94,42,M,14033,2011,"[40,50)",30.0,63.0,4.0,7,2452.2371418767802,15795.0,1
94,45,M,17326,2016,"[40,50)",24.0,54.0,1.85,7,2452.2371418767802,15795.0,1
95,25,F,22497,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
96,40,M,8696,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
97,55,M,16925,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
98,35,M,14902,2008,"[30,40)",27.0,68.0,0.79,5,1993.7002532978722,15501.8,1
98,36,M,16723,2009,"[30,40)",25.0,68.0,1.06,5,1993.7002532978722,15501.8,1
98,34,M,17566,2007,"[30,40)",28.0,69.0,1.2,5,1993.7002532978722,15501.8,1
98,37,M,15917,2010,"[30,40)",31.0,71.0,1.3,5,1993.7002532978722,15501.8,1
98,30,M,12401,2016,"[30,40)",24.0,54.0,1.85,5,1993.7002532978722,15501.8,1
99,30,M,16033,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
100,35,F,16430,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
101,30,F,21699,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
102,45,M,16711,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
